level_0,level_1,level_2,root_kc,final_cluster
字符串,字符串,数据结构,数据处理与编程知识,5
分子与晶体结构,分子与晶体结构,电学原理,科学理论与方法,9
双向传递,数据处理技术,数据管理与处理,信息技术与管理,12
编译环境,编程基础知识,编程知识,数据处理与编程知识,5
分类,分类,分类,类型分类,1
内核线程,进程管理,计算机系统管理,信息技术与管理,12
PQDT博硕士论文,PQDT博硕士论文,学位论文,教育研究与实践,13
弹簧秤,弹簧秤,流体物理性质,化学与物理性质,8
后进生,后进生,因材施教,教育研究与实践,13
狙击手,狙击手,狙击手,国际关系与协议,3
贝叶斯分类,贝叶斯分类,贝叶斯分类,数据处理与编程知识,5
生产关系,生产关系,生产关系,经济学概念,11
班级管理,班级管理,教育理论与实践,教育研究与实践,13
共有物分割,共有物分割,法律责任,法律与责任,6
对象指针,编程基础知识,编程知识,数据处理与编程知识,5
商业价值,商业价值,商业价值,经济学概念,11
三家分晋,三家分晋,晋书,中国古代文化,14
毛细血管,生命科学,生物与地理科学,生物与自然科学,4
经济指标,经济指标,经济指标,经济学概念,11
动力学与能量守恒,动力学与能量守恒,物理学基本原则,科学理论与方法,9
噪声要求,噪声要求,噪声要求,组织与评估设计,0
管理学,管理学,投资收益率,经济学概念,11
未来媒介,数据处理技术,数据管理与处理,信息技术与管理,12
概率分布,概率分布,概率分布,数据处理与编程知识,5
动量,动量,动量,化学与物理性质,8
物质状态,物质状态,个人权利保护,法律与责任,6
混凝土耐久性,性质,性质与特性,化学与物理性质,8
阶次概念,阶次概念,阶次概念,阶次概念,-1
电阻的串并联,电阻,电学原理,科学理论与方法,9
大学生活,大学生活,大学生活,教育研究与实践,13
样本量估算,研究样本量,研究设计,组织与评估设计,0
驻波,驻波,驻波,化学与物理性质,8
施主能级,施主能级,施主能级,化学与物理性质,8
创新型集群,创新型集群,商业与产业,经济体系与发展,16
市场概念,市场概念,市场概念,经济学概念,11
级数与收敛性,级数与收敛性,级数与收敛性,级数与收敛性,-1
促销,促销,促销,经济学概念,11
预测分析,流行病学,循证医学与流行病学,生物与自然科学,4
实训项目,实践经验,课程理论与实践,教育研究与实践,13
基本子空间的正交关系,基本子空间的正交关系,基本子空间的正交关系,基本子空间的正交关系,-1
贵金属,性质,性质与特性,化学与物理性质,8
文献类型,文献类型,文献类型,类型分类,1
天道循环,天道循环,天道循环,中国古代文化,14
秦国制度特点,秦国制度特点,秦国制度特点,中国古代文化,14
均匀球壳,均匀球壳,物理性质,化学与物理性质,8
活动踪迹预测,活动踪迹预测,中心地理论,科学理论与方法,9
失效机制,失效机制,物价,经济学概念,11
物质代谢,生命科学,生物与地理科学,生物与自然科学,4
位置与中心概念,服务平台,服务平台管理,信息技术与管理,12
社会主义理论,社会主义理论,社会主义理论,法律与政治制度,10
众筹概念,众筹概念,货币与金融市场,经济体系与发展,16
统计学与测量,统计学与测量,计算机与信息系统相关术语,信息技术与管理,12
模式识别,模式识别,模式识别,类型分类,1
需求要素,需求要素,需求要素,经济学概念,11
沈博阳,沈博阳,荀子,中国古代文化,14
经济学知识体系,经济学知识体系,经济学知识体系,经济学概念,11
配合物命名,化学键与配合物,有机与无机化学知识,化学与物理性质,8
预设,预设,调查性报道,教育研究与实践,13
感知机,感知机,感知机,数据处理与编程知识,5
元素分类,性质,性质与特性,化学与物理性质,8
热导率分析,热导率分析,气体性质,化学与物理性质,8
财经报道与传播,财经报道与传播,财经报道与传播,财经报道与传播,-1
水分处理技术,水分处理技术,浓度,热力学与化学反应,7
伦敦旅游景点,植物景观设计与规划,植物景观与设计,生物与环境设计,2
西奈半岛,西奈半岛,西奈半岛,国际关系与协议,3
人际关系,国家与阶级关系,社会与政治关系,中东与中国历史政治研究,15
唐朝土地制度,唐朝土地制度,唐朝土地制度,中国古代文化,14
室外活动场地,空间规划,规划与设计,生物与环境设计,2
创新与创造力,教育活动,教育理念,教育研究与实践,13
AIDS,病毒感染,循证医学与流行病学,生物与自然科学,4
占卜与命理,占卜与命理,占卜与命理,中国古代文化,14
广播,广播,广播,信息技术与管理,12
儿童游戏场活动范围,空间规划,规划与设计,生物与环境设计,2
镜像变换,镜像变换,物理性质,化学与物理性质,8
哲学思想体系,哲学思想体系,哲学思想体系,中国古代文化,14
作者,作者,作者,作者,-1
踝关节稳定性,形态学,生物与地理科学,生物与自然科学,4
文件分配,文件分配,文件格式与内容管理,信息技术与管理,12
MBTI,MBTI,MBTI,类型分类,1
可逆的气道,呼吸生理学,生物与地理科学,生物与自然科学,4
机械能守恒,机械能守恒,机械能守恒,化学与物理性质,8
互联网金融产品,互联网金融产品,科技与支付系统,信息技术与管理,12
范氏气体临界点,范氏气体临界点,传热学概念,热力学与化学反应,7
教材编写,课程理论与实践,课程理论与实践,教育研究与实践,13
班级管理与教育,班级管理与教育,教育理论与实践,教育研究与实践,13
采购方案,商业,商业与产业,经济体系与发展,16
骨骼解剖学,骨骼解剖学,人与自然,生物与自然科学,4
党的指导思想,党的指导思想,设计领域,组织与评估设计,0
资金管理,资金管理,调查性报道,教育研究与实践,13
冷却负荷,冷却负荷,湿空气的状态,热力学与化学反应,7
指针,指针,数据结构,数据处理与编程知识,5
人机交互与虚拟现实,界面,计算机与信息系统相关术语,信息技术与管理,12
德行与美德,德行与美德,荀子,中国古代文化,14
法治理论,法治理论,法治理论,法律与政治制度,10
银,性质,性质与特性,化学与物理性质,8
投稿,投稿,投稿,科学理论与方法,9
评价与素养标准,评价与素养标准,教育理论与实践,教育研究与实践,13
因子图,模型理论,数学理论,科学理论与方法,9
离散化,离散化,离散化,数据处理与编程知识,5
自拍照,自拍照,自拍照,自拍照,-1
伽拉提亚的掳掠,伽拉提亚的掳掠,伽拉提亚的掳掠,伽拉提亚的掳掠,-1
知识体系,学习方法与策略,微课学习策略,教育研究与实践,13
人工智能与机器学习,人工智能与机器学习,数据管理与分析,信息技术与管理,12
临界条件,临界条件,临界条件,热力学与化学反应,7
分解过程,生命科学,生物与地理科学,生物与自然科学,4
市场营销知识,市场营销知识,市场营销知识,经济学概念,11
手表,手表,手表,手表,-1
酒类知识体系,醇类,发酵化学,化学与物理性质,8
感知与意识,感知与意识,感知与意识,教育研究与实践,13
两球相贯,物理学,力学理论,科学理论与方法,9
资产结构,资产结构,资产结构,经济学概念,11
教材,课程理论与实践,课程理论与实践,教育研究与实践,13
全球化与文化交流,全球化与文化交流,全球化与文化交流,国际关系与协议,3
准确性,准确性,数据管理与分析,信息技术与管理,12
对数平均温差,换热器类型,热交换与传热,热力学与化学反应,7
班主任管理与师生关系,班主任管理与师生关系,教育理论与实践,教育研究与实践,13
数学运算,数学运算,数学运算,数据处理与编程知识,5
保护措施,编程基础知识,编程知识,数据处理与编程知识,5
白酒知识,白酒知识,白酒知识,中国古代文化,14
感官体验,感官体验,感官体验,教育研究与实践,13
物质帮助,物质帮助,物质帮助,物质帮助,-1
新东方,新东方,信息化教学资源,教育研究与实践,13
稀缺资源,稀缺资源,稀缺资源,经济学概念,11
自由与能量,自由与能量,自由与能量,自由与能量,-1
锁定与噪声控制,锁定与噪声控制,数据规范化,数据处理与编程知识,5
介质,介质,介质,化学与物理性质,8
弹药,弹药,弹药,国际关系与协议,3
M0的定义,M0的定义,通货,经济学概念,11
反应特性,反应特性,反应特性,化学与物理性质,8
网络协议,网络协议,计算机与信息系统相关术语,信息技术与管理,12
选题,选题,选题,组织与评估设计,0
物质,无机化学化合物,有机与无机化学知识,化学与物理性质,8
财务报表,财务报表,财务报表,经济学概念,11
原则体系,原则体系,原则体系,法律与政治制度,10
婴儿营养,生命科学,生物与地理科学,生物与自然科学,4
sp3杂化,有机化合物合成与结构,有机与无机化学知识,化学与物理性质,8
友元,编程基础知识,编程知识,数据处理与编程知识,5
集群偏好,集群偏好,集群偏好,经济学概念,11
修订,修订,修订,法律与责任,6
应变场,应变场,应变场,应变场,-1
限制因素,限制因素,限制因素,组织与评估设计,0
四象限法则,四象限法则,时间管理与复杂度,信息技术与管理,12
三段论,三段论,逻辑学概论,科学理论与方法,9
转动惯量,转动惯量,物理性质,化学与物理性质,8
果实,形态学,生物与地理科学,生物与自然科学,4
激励机制,物权与权利,物权法律关系,法律与政治制度,10
客流量,客流量,客流量,经济学概念,11
相似原理的应用,相似特征数,相似性与特征分析,科学理论与方法,9
证据收集,证据收集,证据收集,科学理论与方法,9
苯并芘,苯,有机化学物质,化学与物理性质,8
竞争者行为,竞争者行为,竞争者行为,经济学概念,11
亲电取代,烯烃反应,有机化学反应,化学与物理性质,8
回路电流方程,电流,电学原理,科学理论与方法,9
左式堆,树的拓扑结构,数据结构,数据处理与编程知识,5
BMI,流行病学,循证医学与流行病学,生物与自然科学,4
战略管理,战略管理,战略管理,经济学概念,11
无线传输介质,无线传输介质,无线传输介质,信息技术与管理,12
维度与降维,维度与降维,维度与降维,维度与降维,-1
重言式,重言式,重言式,类型分类,1
映射,映射,映射,类型分类,1
王进喜,中国历史人物,中国历史,中东与中国历史政治研究,15
细胞膜结构,性质,性质与特性,化学与物理性质,8
溶液与输液治疗,溶液与输液治疗,物理性质,化学与物理性质,8
三绝,三绝,三绝,中国古代文化,14
媒体与社会,平台,服务平台管理,信息技术与管理,12
垂直失调,垂直失调,垂直失调,热力学与化学反应,7
真人,真人,荀子,中国古代文化,14
视线,植物景观围合强度,植物景观与设计,生物与环境设计,2
EPS,数据管理系统,数据管理与处理,信息技术与管理,12
双层伸展,树的拓扑结构,数据结构,数据处理与编程知识,5
骨骼肌肉系统,生命科学,生物与地理科学,生物与自然科学,4
焦点,焦点,焦点,信息技术与管理,12
水观法,水观法,水观法,中国古代文化,14
资治通鉴,资治通鉴,文言,中国古代文化,14
考试,移动学习资源,学习资源与学习者,教育研究与实践,13
优先级队列,选择结构,数据结构,数据处理与编程知识,5
环境因素,发酵过程,发酵化学,化学与物理性质,8
两体问题,两体问题,两体问题,化学与物理性质,8
写作手法,写作手法,写作手法,写作手法,-1
左式堆的合并算法,树的拓扑结构,数据结构,数据处理与编程知识,5
国家因素,国家因素,国家因素,国际关系与协议,3
数学期望,数学期望,数学期望,数学期望,-1
杜能圈,杜能圈,区域经济圈,经济体系与发展,16
教育评价,教育制度与发展,教育制度与发展,教育研究与实践,13
完全弹性碰撞,完全弹性碰撞,完全弹性碰撞,化学与物理性质,8
三项原则,三项原则,三项原则,法律与政治制度,10
条件期望,条件期望,条件期望,经济学概念,11
Cochrane协作网,调查研究,研究设计,组织与评估设计,0
电影,电影,电影,类型分类,1
自然规律,自然规律,物理学基本原则,科学理论与方法,9
转录,DNA生物学,生物与地理科学,生物与自然科学,4
有限元,力学,力学理论,科学理论与方法,9
酸碱平衡与反应类型,酸碱平衡与反应类型,酸碱平衡与反应类型,生物与自然科学,4
徒手分样,生命科学,生物与地理科学,生物与自然科学,4
角动量与角度,角动量与角度,物理学基本原则,科学理论与方法,9
地理与发展,地理与发展,地理与发展,经济学概念,11
昭宣中兴,中国古代,中国历史,中东与中国历史政治研究,15
缺页,内存管理,计算机系统管理,信息技术与管理,12
带宽,带宽,数值计算与分类算法,信息技术与管理,12
文献资料,稀缺性,资源管理,信息技术与管理,12
消费者行为学,消费者行为学,边际替代率,经济学概念,11
相量,相量,电学原理,科学理论与方法,9
汽化核心数,沸腾传热,热交换与传热,热力学与化学反应,7
系统论,力学,力学理论,科学理论与方法,9
运动饮食,运动饮食,运动饮食,运动饮食,-1
专利,专利,个人权利保护,法律与责任,6
经济事项,经济事项,经济事项,经济学概念,11
文化与哲学,文化与哲学,文化与哲学,国际关系与协议,3
统计问题,统计问题,概率分布函数,科学理论与方法,9
公共采购与政府购买,合同法,合同法知识,法律与政治制度,10
摩尔质量,化学概念,有机与无机化学知识,化学与物理性质,8
劳动力市场,经济性,经济发展与增长,经济体系与发展,16
零件,零件,零件,零件,-1
话题,话题,话题,话题,-1
参数传递,参数传递,设计领域,组织与评估设计,0
习得性无助,习得性无助,教育理论与实践,教育研究与实践,13
预警,预警,应急管理体系,信息技术与管理,12
逻辑与事实,逻辑与事实,内容元素与信息来源,教育研究与实践,13
时代背景,时代背景,刘秀,中国古代文化,14
HTML,页面,计算机与信息系统相关术语,信息技术与管理,12
管排修正系数,管排修正系数,管排修正系数,管排修正系数,-1
国民储蓄,国民储蓄,储蓄形式,经济学概念,11
外延,外延,外延,类型分类,1
数据平滑,数据平滑,数据规范化,数据处理与编程知识,5
二阶张量,二阶张量,二阶张量,二阶张量,-1
缺氧与血流量,缺氧与血流量,循证医学与流行病学,生物与自然科学,4
互感,互感,互感,化学与物理性质,8
逻辑与概率理论,逻辑与概率理论,逻辑与概率理论,数据处理与编程知识,5
身份识别,身份识别,科技与支付系统,信息技术与管理,12
公正司法,公正司法,公正司法,法律与政治制度,10
反应平衡,反应平衡,反应物浓度,热力学与化学反应,7
定常流动,定常流动,流体物理性质,化学与物理性质,8
逻辑与对立,逻辑与对立,逻辑与对立,法律与政治制度,10
硬实,材料使用特性,材料科学与工程,生物与自然科学,4
真值,真值,逻辑学概论,科学理论与方法,9
景观结构体系,植物景观设计与规划,植物景观与设计,生物与环境设计,2
历史人物,历史人物,文言,中国古代文化,14
结构振动问题,结构振动问题,结构振动问题,生物与自然科学,4
现金流量管理,现金流量管理,现金流量管理,经济学概念,11
优势,优势,执政地位,法律与政治制度,10
纯滚动,纯滚动,纯滚动,纯滚动,-1
三层体系结构,数据处理技术,数据管理与处理,信息技术与管理,12
生理应激反应,神经信号传导,神经生物学,生物与自然科学,4
财务,财务,财务,经济学概念,11
人文精神与价值观,人文精神与价值观,人文精神与价值观,类型分类,1
压力概念,压力概念,气体性质,化学与物理性质,8
页表,内存管理,计算机系统管理,信息技术与管理,12
教育,教育,教育理论与实践,教育研究与实践,13
尺寸测量,尺寸测量,尺寸测量,尺寸测量,-1
统计学专,统计学专,概率密度函数,科学理论与方法,9
队列研究,队列研究,队列研究,科学理论与方法,9
下送上排负荷,下送上排负荷,热交换与传热,热力学与化学反应,7
拉格朗日关系式,力学,力学理论,科学理论与方法,9
技术决定论,技术决定论,技术决定论,科学理论与方法,9
雾霾,雾霾,人与自然,生物与自然科学,4
运动与振动,运动与振动,运动与振动,化学与物理性质,8
二元谓词,二元谓词,二元谓词,类型分类,1
生存质量,生存质量,生存质量,教育研究与实践,13
师生关系,师生关系,教育理论与实践,教育研究与实践,13
体温调节,体温调节,体温调节,体温调节,-1
计算机科学概念,计算机科学概念,数据管理与分析,信息技术与管理,12
全期望公式,全期望公式,概率密度函数,科学理论与方法,9
新秩序,新秩序,新秩序,国际关系与协议,3
骨骼损伤与愈合,骨骼损伤与愈合,循证医学与流行病学,生物与自然科学,4
使用与传粉,使用与传粉,教学机,教育研究与实践,13
学习理论与知识论,学习理论与知识论,教育理论与实践,教育研究与实践,13
节点操作,树的拓扑结构,数据结构,数据处理与编程知识,5
弥散障碍,呼吸生理学,生物与地理科学,生物与自然科学,4
经济活动,经济活动,经济活动,经济学概念,11
思维方式,思维方式,思维方式,法律与政治制度,10
SCI数据库,数据管理系统,数据管理与处理,信息技术与管理,12
引力与空间,引力与空间,物化,热力学与化学反应,7
逆向选择,逆向选择,逆向选择,经济学概念,11
等温方程式,等温方程式,传热学概念,热力学与化学反应,7
身体形态与评估,身体形态与评估,人与自然,生物与自然科学,4
辩证法,辩证法,辩证法,中国古代文化,14
能量与功,能量与功,能量与功,化学与物理性质,8
班级组织功能,教育功能,教育目的与功能,教育研究与实践,13
口语,口语,教学机,教育研究与实践,13
反馈,反馈,教育理论与实践,教育研究与实践,13
优先级,树的拓扑结构,数据结构,数据处理与编程知识,5
散列变换与冲突,散列变换与冲突,数据结构,数据处理与编程知识,5
双重课税,双重课税,双重课税,经济学概念,11
轴测图与轴点策略,轴测图与轴点策略,轴测图与轴点策略,轴测图与轴点策略,-1
IO数据传输,存储处理,计算机系统管理,信息技术与管理,12
发酵酒,发酵酒,发酵酒,类型分类,1
物流,物流,物流,经济学概念,11
惯性概念,惯性概念,物理性质,化学与物理性质,8
调配技术,调配技术,调配技术,化学与物理性质,8
约束与优先级管理,约束与优先级管理,约束与优先级管理,约束与优先级管理,-1
重构,树的拓扑结构,数据结构,数据处理与编程知识,5
独立,独立,独立,数据处理与编程知识,5
核心,核心,核心,经济学概念,11
概念框架,概念框架,概念框架,中国古代文化,14
